iter	Passed	Remaining
542	20131	165240
543	20167	165197
544	20203	165148
545	20250	165190
546	20288	165167
547	20319	165078
548	20357	165048
549	20395	165020
550	20436	165009
551	20476	164995
552	20520	165021
553	20558	164988
554	20599	164979
555	20644	165010
556	20683	164987
557	20731	165038
558	20778	165076
559	20817	165052
560	20862	165078
561	20908	165107
562	20957	165163
563	20992	165114
564	21026	165045
565	21071	165071
566	21114	165081
567	21152	165049
568	21187	164995
569	21225	164960
570	21263	164928
571	21305	164934
572	21343	164899
573	21377	164837
574	21414	164800
575	21449	164747
576	21489	164731
577	21529	164711
578	21565	164664
579	21607	164661
580	21650	164670
581	21689	164647
582	21724	164593
583	21757	164524
584	21799	164520
585	21834	164468
586	21869	164413
587	21915	164441
588	21957	164435
589	21997	164420
590	22038	164413
591	22079	164403
592	22112	164331
593	22146	164272
594	22181	164214
595	22219	164183
596	22258	164163
597	22299	164151
598	22336	164108
599	22376	164090
600	22416	164073
601	22453	164036
602	22495	164030
603	22543	164071
604	22580	164031
605	22620	164016
606	22663	164018
607	22705	164018
608	22741	163967
609	22771	163877
610	22811	163863
611	22854	163863
612	22894	163849
613	22936	163839
614	22979	163842
615	23017	163815
616	23055	163778
617	23103	163819
618	23143	163799
619	23184	163786
620	23225	163775
621	23261	163728
622	23300	163699
623	23345	163719
624	23385	163695
625	23428	163699
626	23460	163622
627	23496	163576
628	23534	163542
629	23578	163555
630	23618	163535
631	23656	163498
632	23697	163485
633	23736	163461
634	23774	163422
635	23823	163468
636	23866	163469
637	23907	163456
638	23947	163436
639	23984	163396
640	24023	163368
641	24061	163332
642	24095	163270
643	24130	163220
644	24170	163197
645	24214	163207
646	24257	163203
647	24290	163134
648	24326	163089
649	24369	163086
650	24410	163074
651	24447	163035
652	24492	163048
653	24533	163034
654	24573	163009
655	24615	162999
656	24654	162974
657	24685	162892
658	24735	162937
659	24772	162897
660	24809	162859
661	24848	162829
662	24879	162750
663	24915	162701
664	24953	162669
665	24995	162656
666	25037	162647
667	25073	162601
668	25105	162531
669	25141	162483
670	25176	162429
671	25211	162372
672	25249	162339
673	25284	162287
674	25323	162259
675	25358	162206
676	25399	162187
677	25439	162165
678	25472	162100
679	25512	162080
680	25559	162101
681	25589	162016
682	25624	161962
683	25661	161923
684	25695	161863
685	25735	161839
686	25775	161816
687	25809	161762
688	25843	161698
689	25880	161660
690	25923	161658
691	25966	161650
692	25998	161583
693	26038	161561
694	26075	161519
695	26119	161521
696	26161	161512
697	26199	161477
698	26236	161434
699	26273	161393
700	26315	161382
701	26352	161343
702	26387	161288
703	26426	161261
704	26460	161204
705	26496	161156
706	26534	161122
707	26569	161065
708	26603	161008
709	26638	160953
710	26678	160936
711	26708	160851
712	26744	160805
713	26778	160747
714	26812	160688
715	26852	160662
716	26891	160638
717	26927	160590
718	26960	160526
719	26992	160454
720	27029	160414
721	27063	160357
722	27096	160293
723	27127	160215
724	27166	160191
725	27203	160145
726	27235	160080
727	27266	160002
728	27298	159931
729	27334	159887
730	27369	159837
731	27400	159759
732	27441	159746
733	27472	159672
734	27507	159617
735	27543	159571
736	27583	159551
737	27619	159505
738	27654	159454
739	27694	159428
740	27737	159425
741	27776	159397
742	27811	159346
743	27847	159297
744	27889	159288
745	27925	159244
746	27964	159214
747	28005	159197
748	28045	159171
749	28086	159155
750	28122	159112
751	28157	159061
752	28191	159000
753	28228	158960
754	28269	158948
755	28310	158926
756	28347	158890
757	28381	158830
758	28415	158776
759	28452	158737
760	28495	158730
761	28529	158669
762	28566	158633
763	28611	158635
764	28654	158632
765	28697	158624
766	28732	158574
767	28770	158536
768	28802	158472
769	28840	158433
770	28877	158397
771	28911	158340
772	28948	158301
773	28983	158247
774	29015	158179
775	29048	158120
776	29080	158052
777	29113	157991
778	29145	157924
779	29180	157871
780	29214	157819
781	29252	157786
782	29290	157747
783	29321	157679
784	29360	157647
785	29399	157620
786	29433	157565
787	29481	157584
788	29521	157558
789	29560	157531
790	29597	157493
791	29633	157445
792	29669	157403
793	29707	157367
794	29741	157313
795	29780	157284
796	29810	157204
797	29843	157145
798	29880	157105
799	29915	157058
800	29957	157040
801	29996	157011
802	30030	156957
803	30070	156935
804	30106	156892
805	30140	156835
806	30180	156810
807	30223	156804
808	30266	156794
809	30307	156777
810	30345	156742
811	30383	156705
812	30419	156660
813	30468	156684
814	30510	156669
815	30550	156648
816	30592	156631
817	30629	156594
818	30673	156589
819	30710	156550
820	30746	156506
821	30790	156501
822	30842	156535
823	30884	156519
824	30927	156514
825	30966	156481
826	30998	156414
827	31028	156341
828	31061	156283
829	31105	156278
830	31140	156226
831	31189	156249
832	31225	156201
833	31257	156136
834	31290	156078
835	31328	156041
836	31363	155991
837	31402	155961
838	31456	156009
839	31501	156006
840	31539	155971
841	31580	155950
842	31610	155878
843	31643	155816
844	31680	155779
845	31717	155737
846	31752	155687
847	31783	155621
848	31821	155585
849	31864	155575
850	31906	155559
851	31941	155509
852	31987	155510
853	32030	155504
854	32064	155449
855	32109	155448
856	32146	155405
857	32182	155363
858	32222	155335
859	32255	155276
860	32298	155267
861	32337	155234
862	32375	155199
863	32415	155174
864	32452	155134
865	32493	155114
866	32528	155061
867	32565	155022
868	32600	154973
869	32641	154951
870	32677	154906
871	32713	154863
872	32745	154800
873	32777	154735
874	32815	154702
875	32858	154689
876	32897	154658
877	32941	154651
878	32985	154645
879	33026	154625
880	33063	154582
881	33099	154541
882	33144	154536
883	33183	154507
884	33219	154459
885	33261	154444
886	33302	154421
887	33334	154358
888	33364	154285
889	33400	154243
890	33437	154204
891	33476	154173
892	33511	154120
893	33550	154092
894	33588	154058
895	33638	154075
896	33684	154075
897	33732	154087
898	33782	154106
899	33823	154082
900	34159	155405
901	34206	155407
902	34255	155421
903	34306	155443
904	34377	155552
905	34452	155681
906	34506	155718
907	34549	155700
908	34599	155717
909	34640	155691
910	34682	155671
911	34725	155655
912	34763	155618
913	34799	155568
914	34832	155511
915	34868	155461
916	34903	155408
917	34937	155354
918	34971	155296
919	35005	155240
920	35036	155174
921	35074	155135
922	35111	155090
923	35151	155060
924	35194	155046
925	35233	155012
926	35264	154945
927	35298	154888
928	35331	154826
929	35361	154755
930	35397	154708
931	35435	154669
932	35473	154630
933	35515	154611
934	35555	154582
935	35594	154547
936	35628	154489
937	35662	154435
938	35697	154385
939	35733	154339
940	35767	154283
941	35803	154235
942	35840	154195
943	35875	154145
944	35908	154083
945	35939	154017
946	35972	153956
947	36005	153898
948	36038	153836
949	36070	153775
950	36107	153731
951	36141	153676
952	36171	153606
953	36206	153554
954	36239	153496
955	36275	153449
956	36314	153416
957	36349	153365
958	36383	153313
959	36418	153261
960	36454	153213
961	36490	153170
962	36527	153126
963	36559	153065
964	36595	153020
965	36632	152977
966	36665	152919
967	36703	152878
968	36743	152850
969	36780	152810
970	36818	152773
971	36854	152725
972	36891	152685
973	36925	152629
974	36959	152576
975	36993	152521
976	37031	152482
977	37065	152431
978	37099	152377
979	37136	152336
980	37179	152317
981	37218	152283
982	37257	152252
983	37301	152238
984	37353	152256
985	37399	152253
986	37447	152254
987	37486	152222
988	37528	152200
989	37573	152190
990	37616	152172
991	37657	152148
992	37698	152123
993	37742	152107
994	37791	152114
995	37843	152134
996	37882	152100
997	37926	152085
998	37972	152078
999	38007	152031
1000	38044	151988
1001	38090	151980
1002	38123	151924
1003	38154	151857
1004	38186	151796
1005	38218	151736
1006	38256	151698
1007	38291	151645
1008	38328	151605
1009	38361	151547
1010	38397	151502
1011	38433	151453
1012	38465	151391
1013	38495	151325
1014	38531	151280
1015	38569	151240
1016	38605	151197
1017	38645	151165
1018	38682	151123
1019	38718	151080
1020	38764	151070
1021	38798	151018
1022	38840	150996
1023	38881	150968
1024	38932	150981
1025	38973	150955
1026	39005	150896
1027	39045	150865
1028	39080	150816
1029	39114	150762
1030	39156	150739
1031	39199	150718
1032	39247	150722
1033	39285	150683
1034	39326	150658
1035	39369	150638
1036	39407	150600
1037	39446	150564
1038	39489	150546
1039	39527	150508
1040	39570	150489
1041	39606	150442
1042	39646	150414
1043	39686	150382
1044	39725	150348
1045	39766	150321
1046	39808	150297
1047	39848	150268
1048	39890	150245
1049	39926	150201
1050	39969	150179
1051	40002	150124
1052	40041	150090
1053	40085	150074
1054	40122	150030
1055	40166	150014
1056	40199	149960
1057	40232	149901
1058	40273	149876
1059	40311	149837
1060	40354	149816
1061	40385	149752
1062	40417	149691
1063	40453	149648
1064	40488	149598
1065	40521	149543
1066	40560	149505
1067	40603	149488
1068	40641	149448
1069	40684	149429
1070	40720	149384
1071	40759	149349
1072	40797	149311
1073	40831	149257
1074	40868	149218
1075	40908	149187
1076	40944	149140
1077	40981	149101
1078	41022	149071
1079	41063	149047
1080	41101	149006
1081	41136	148957
1082	41174	148921
1083	41215	148893
1084	41259	148877
1085	41303	148861
1086	41335	148799
1087	41375	148770
1088	41411	148723
1089	41446	148675
1090	41487	148646
1091	41520	148591
1092	41555	148544
1093	41597	148518
1094	41633	148472
1095	41673	148441
1096	41714	148415
1097	41750	148368
1098	41791	148343
1099	41827	148297
1100	41864	148256
1101	41901	148214
1102	41942	148185
1103	41982	148154
1104	42024	148130
1105	42062	148092
1106	42096	148042
1107	42125	147973
1108	42159	147920
1109	42205	147909
1110	42239	147855
1111	42279	147826
1112	42322	147804
1113	42362	147772
1114	42402	147742
1115	42443	147714
1116	42476	147660
1117	42510	147607
1118	42546	147562
1119	42589	147543
1120	42626	147501
1121	42664	147463
1122	42711	147455
1123	42750	147419
1124	42788	147381
1125	42828	147350
1126	42875	147344
1127	42909	147291
1128	42950	147265
1129	42989	147230
1130	43030	147200
1131	43067	147158
1132	43112	147147
1133	43156	147126
1134	43197	147098
1135	43234	147056
1136	43274	147025
1137	43316	147001
1138	43355	146966
1139	43394	146930
1140	43433	146897
